"date","All School","Board of Education of the City of Chicago","Clark County School District (NV)","Los Angeles Unified School District (CA)","School District of Miami-Dade County","Houston Independent School District (TX)"
2021-02-19,160.717630722952,139.909899382457,177.621545899042,130.296915733286,188.095578176831,171.2145799845
2021-02-26,157.019788953488,134.170553787438,174.135967073643,126.670564109707,186.725998016635,168.278018644006
2021-03-05,158.034022597733,135.017124296043,174.950467461153,128.321363179447,189.720528939698,168.407584224562
2021-03-12,158.700515325916,137.999355220198,175.879079824844,128.911991116657,189.701097855068,166.551766831899
2021-03-19,159.334917325285,141.955990405162,176.638837355277,128.986008793358,188.418924022595,164.232185232065
2021-03-26,160.231130608722,145.723999515875,176.62718890926,129.148224658189,188.483705219194,163.520931047644
2021-04-05,163.023755692369,147.082438173563,179.346361400407,132.322739111715,191.396648344693,164.886432615311
2021-04-09,165.203974916525,147.427569687466,181.546388309267,134.515001669055,194.941279682859,166.542997275778
2021-04-16,167.347210316759,147.195045638834,183.300516995331,138.710965723768,196.775266955051,165.570877222406
2021-04-23,168.130280164223,150.877278237214,182.695763454054,138.902365902348,199.350382260923,162.68573170636
2021-04-30,168.504868969379,152.881603827479,182.383061388699,138.765244005803,196.959049557378,162.779029833622
2021-05-07,167.592735903586,153.074677646586,182.09879087877,135.784820368154,195.768222898208,163.51923186093
2021-05-14,167.620335864091,151.063098731907,182.556826294623,135.764032504208,195.340344398506,166.373200845774
2021-05-21,168.032202656145,151.134785291071,182.309097767268,136.722430297675,196.474045858286,166.82129395012
2021-05-28,169.990949322319,153.56267993575,183.402987788533,139.136020778412,196.65053682687,169.131714434706
2021-06-04,171.787162105477,159.664573923833,184.757040685077,139.648309864622,195.644702960727,171.393542272729
2021-06-11,171.212450140766,158.359287978933,184.056534215215,138.390817501342,195.76421301193,170.150648348273
2021-06-18,170.037717495165,154.835452842156,183.081916730556,135.926337998076,197.732825517641,169.610929611171
2021-06-25,170.683368082236,153.864897378402,181.752647114201,135.866937839918,201.845109825292,170.146006220883
2021-07-02,173.657373275908,163.332485182939,184.300249957645,137.866457935079,203.595421960097,173.43967386449
2021-07-09,175.752947675216,165.612524710223,186.9235211596,140.559707351609,203.322846102425,175.991795887565
2021-07-16,176.375192946928,164.647144525021,188.752714171321,142.200037450653,204.120239294612,176.87222516268
2021-07-23,177.006589315532,163.758973647067,189.202747131449,143.27028772275,206.020111143437,173.610830321934
2021-07-30,177.398191318371,166.440495849523,188.537604363832,143.253215668281,206.969583906434,173.398988006609
2021-08-06,176.206669147094,163.114283023925,188.277638633316,142.488794142297,204.824344117337,171.730566186984
2021-08-13,174.723693532141,156.098250740659,187.878209547544,141.148448764909,205.275468215435,174.585444296077
2021-08-20,173.781123454833,156.349955969003,187.534875929907,139.921210843935,205.09676137114,172.7016190793
2021-08-27,173.666402550179,156.498766165721,187.603667555307,140.148378377886,201.718143811236,172.596363616777
2021-09-03,174.600521291185,166.354862537245,188.315635861869,140.559924398544,198.148445121026,171.26365052318
2021-09-10,174.527027324069,165.924197109999,188.813449751971,140.89592668624,194.320499521957,171.050259871688
2021-09-17,172.342368300763,164.476968234991,186.027303913351,138.469215626586,195.019781633011,168.863048528629
2021-09-24,169.405194316769,157.529664713301,182.824487305987,135.582557703867,194.091194073757,168.22234977425
