date,All City,Chicago,Cincinnati,Columbus,Dallas,Houston,Las Vegas,Mesa,New York City,Philadelphia,Raleigh,Wichita,Arlington,Charlotte,Boston,Corpus Christi,El Paso,Kansas City,Memphis,Milwaukee,Phoenix,Portland,San Antonio,San Francisco,Seattle,Virginia Beach,Fort Worth,Oklahoma City,Omaha,Pittsburgh,New Orleans,Tucson,Albuquerque
26-02-2024,100.5667643,118.9984504,106.825092,111.3675033,117.9526737,71.90736068,121.7287866,114.9252203,87.16371632,86.51844372,116.5147385,139.3546426,97.01082497,75.7795621,92.11934374,140.4410623,89.83222198,89.15463892,63.48851049,109.1887972,83.52154222,101.29918,101.1271172,66.69216209,84.34541254,111.115491,93.69173996,100.2873329,102.4423942,131.6011943,115.6982825,124.7370942,132.7359618
04-03-2024,100.0352737,119.9595614,107.7748854,111.1257982,117.8405222,71.72905466,122.3271073,115.9097853,85.83745117,86.33986155,117.3207426,138.5346696,96.27614089,76.03071826,91.16689752,140.4621051,90.36786357,87.805623,63.72234809,108.8116541,83.61167374,100.6351185,100.7923632,65.76102156,83.84813891,110.6363356,91.61588605,101.1832484,104.1052572,132.0607298,114.5604661,136.2235904,134.3048464
11-03-2024,100.0954997,121.7797144,108.0588725,110.4413866,117.1003462,70.16287756,121.4727177,115.0314826,86.54995729,85.80581553,116.696767,135.9032701,94.7357001,74.62572952,90.06404019,138.6729055,90.51378489,85.62177999,66.14678535,110.2505917,83.15328282,99.30389727,100.3158667,64.69982629,84.49731484,110.2417383,90.68482123,100.6917828,103.2817865,130.1259307,112.2129821,135.1907007,133.1299632
18-03-2024,98.28391249,122.0280049,106.2891628,108.7808958,115.3238521,67.89141978,118.7673286,113.2969431,83.7519277,84.4719447,116.6302278,133.9233215,92.90116113,73.44049397,89.02673263,137.4104625,89.42553313,82.37326696,63.62346057,110.1545508,80.28174631,97.96548966,96.66816837,62.1268283,84.37019184,109.0217071,88.60086724,98.04852296,101.1302736,125.0849903,110.472489,133.0577579,128.545345
25-03-2024,95.96796347,120.9466412,102.8084014,106.2228137,114.028609,65.128836,115.2419975,110.0889591,80.22601926,82.77483531,114.0350433,130.7757573,91.56015871,70.30788303,86.04198054,133.4964385,87.53692597,80.70142677,56.93344715,107.4608738,77.122141,96.95504436,91.93561052,60.50659564,83.5152785,106.5028794,87.02938941,93.65982401,97.57739999,121.1681789,108.132249,132.131358,122.6659718
01-04-2024,93.65144828,119.5318607,99.19827858,102.7535435,112.3962537,62.24439468,113.1714627,108.5100888,76.7323046,81.53790559,110.7768635,129.8285844,90.57364366,68.38344907,82.01877183,128.5965418,85.10972648,79.06573135,53.76667301,104.3846058,74.27666161,95.60955693,87.20207947,58.75294481,81.02049969,104.8214104,85.16802347,90.98580205,95.96701577,116.8590547,105.266678,132.9065258,119.655317
08-04-2024,91.27909056,117.551633,97.26694978,98.7547722,110.7356122,59.66029588,111.039441,105.969815,73.34932608,80.39170302,106.9949891,129.1517193,89.52077215,64.57753713,78.17854455,126.5175058,83.29122324,77.44512526,49.46568258,98.35877024,72.81920173,93.36628916,84.04398375,55.98559822,78.2958318,102.5360064,82.84767905,86.54221453,92.24147285,114.1857293,105.0613379,132.5868355,117.2320826
15-04-2024,89.76575756,117.5669839,94.81313811,96.92380371,108.8152893,57.58453019,109.9923753,104.4159127,71.58248477,79.19383912,105.0824282,127.4306273,88.49647023,63.56398487,75.80440042,125.2231391,82.4379594,75.26505144,48.70678516,92.1027301,72.64944724,89.93468929,81.6357778,53.14286223,75.68741966,99.56260887,79.68791369,83.66664087,90.61728983,112.250778,103.8888767,129.179357,112.9408526
22-04-2024,88.35192411,115.6425466,94.52628666,95.55604738,107.3894116,56.81441801,109.3626783,103.2696544,69.37485433,78.25841953,107.1417793,124.8144534,88.33240842,61.82643618,74.65224217,124.2299694,82.17555333,73.80043426,46.98454794,88.61283988,72.20360922,88.46260533,81.08610466,50.65407191,73.71171994,98.9929391,78.93854144,81.05952347,88.0736357,111.8642372,103.3547352,123.2123938,111.9358534
29-04-2024,89.77997163,115.9495664,95.1705831,96.34118702,107.772938,57.98238644,111.3335196,104.8265668,72.55273616,78.05470295,109.4283292,124.5906927,88.6591939,63.47495765,75.35056557,124.6366867,83.2541575,73.96912425,48.53306255,92.77446176,72.25581854,88.11534205,83.22927864,51.086504,73.91915102,99.60195228,79.4158526,82.36041371,88.83228761,115.2675795,102.437219,122.795337,112.6772754
06-05-2024,90.56594986,116.2259356,96.16030666,95.47841984,108.2571655,59.37163528,113.2862726,105.39383,74.01366017,78.55541024,110.7371971,126.18569,88.96132078,64.23758733,77.19662749,126.3919108,83.90642504,75.05318834,50.37037706,97.91281247,72.17531511,88.9162736,85.5542452,50.95017272,75.25508796,100.9277622,81.00596255,84.30016866,89.20444511,116.1785621,103.2504095,126.6362888,115.1596325
